polygon1_name,polygon2_name,mean_colocation
North Somerset,Wiltshire,2.8475216834745356e-6
North Somerset,Swindon,2.7585763071947645e-6
North Tyneside,Newcastle upon Tyne,1.3631951319012303e-4
North Tyneside,Northumberland,5.8253251766904965e-5
North Tyneside,Gateshead,5.513731176854637e-5
North Tyneside,South Tyneside,3.7045318092588126e-5
North Tyneside,Sunderland,1.788458931335988e-5
North Tyneside,Durham,1.0637287806931074e-5
North Tyneside,Hartlepool,4.454933347794894e-6
North Tyneside,Darlington,3.3444000544587006e-6
North Tyneside,Stockton-on-Tees,3.194870271404201e-6
North Tyneside,Middlesbrough,3.133879630052558e-6
North Yorkshire,York,3.967941314115243e-5
North Yorkshire,Darlington,1.8648108501420395e-5
North Yorkshire,East Riding of Yorkshire,1.2996108129716964e-5
North Yorkshire,Leeds,1.2433308765535127e-5
North Yorkshire,Redcar and Cleveland,1.0352504398101223e-5
North Yorkshire,Middlesbrough,1.005388794708558e-5
North Yorkshire,Bradford,8.804688416515761e-6
North Yorkshire,Wakefield,8.755364734853526e-6
North Yorkshire,Stockton-on-Tees,7.56846234474579e-6
North Yorkshire,Kingston upon Hull,4.353266136516941e-6
Northamptonshire,Milton Keynes,1.5305514227693152e-5
Northamptonshire,Bedfordshire,1.2661698064697971e-5
Northamptonshire,Rutland,1.2143825617078361e-5
Northamptonshire,Leicester,5.955830253622681e-6
Northamptonshire,Peterborough,5.64647774917186e-6
Northamptonshire,Warwickshire,5.259604282426201e-6
Northamptonshire,Coventry,5.022360893936433e-6
Northamptonshire,Oxfordshire,4.0663713433205855e-6
Northamptonshire,Leicestershire,3.959288780129638e-6
Northamptonshire,Central Bedfordshire,3.855004335766887e-6
Northumberland,North Tyneside,5.8253251766904965e-5
Northumberland,Newcastle upon Tyne,5.250685435829431e-5
Northumberland,Gateshead,2.7109333798380695e-5
Northumberland,South Tyneside,1.4572412614161063e-5
Northumberland,Scottish Borders,9.091413992075628e-6
Northumberland,Sunderland,7.997911423503111e-6
Northumberland,Durham,6.284635381911983e-6
Northumberland,Hartlepool,2.331778834977491e-6
Northumberland,Darlington,2.2831243532929924e-6
Northumberland,Middlesbrough,1.5606912198309634e-6
Nottingham,Nottinghamshire,8.318828518543811e-5
Nottingham,Derby,2.0222577601467957e-5
Nottingham,Derbyshire,2.0003578458192633e-5
Nottingham,Leicestershire,9.895275502325727e-6
Nottingham,Leicester,5.239828467822753e-6
Nottingham,Lincolnshire,3.7773993608692746e-6
Nottingham,Rutland,3.7307421570410324e-06
Nottingham,Sheffield,1.8368531647198508e-6
Nottingham,Coventry,1.7776324768804003e-6
Nottingham,Rotherham,1.5900014315196179e-6
Nottinghamshire,Nottingham,8.318828518543811e-5
Nottinghamshire,Derbyshire,2.1031887087627045e-5
Nottinghamshire,Derby,1.0818524799691809e-5
Nottinghamshire,Lincolnshire,5.7362178051968305e-6
Nottinghamshire,Doncaster,5.387402597977287e-6
Nottinghamshire,Rotherham,4.915475820091377e-6
Nottinghamshire,Leicestershire,4.113924403356911e-6
Nottinghamshire,Sheffield,3.7543627257524204e-6
Nottinghamshire,Leicester,2.561243955307687e-6
Nottinghamshire,Barnsley,1.8844134172556868e-6
Oldham,Rochdale,7.728582876076999e-5
Oldham,Manchester,5.742473105233706e-5
Oldham,Tameside,5.579625310084938e-5
Oldham,Salford,2.9964111037733027e-5
Oldham,Bury,2.443348711507147e-5
Oldham,Stockport,2.3925935909094228e-5
Oldham,Trafford,1.965405326290609e-5
Oldham,Bolton,1.0380938093725957e-5
Oldham,Wigan,6.829470349976102e-6
Oldham,Calderdale,5.758732185252006e-6
Orkney Islands,Aberdeen City,1.4190064374660712e-5
Orkney Islands,Shetland Islands,1.3443757478595076e-5
Orkney Islands,Aberdeenshire,4.172178021465589e-6
Orkney Islands,Highland,3.645443010358492e-6
Orkney Islands,Moray,3.2335388321230704e-6
Orkney Islands,Gwynedd,2.9679598653424256e-6
Orkney Islands,East Renfrewshire,2.6331600292934556e-6
Orkney Islands,Scottish Borders,2.596344874358105e-6
Orkney Islands,North Ayrshire,2.1032980624468897e-6
Orkney Islands,Glasgow,2.0220991017867756e-6
Oxfordshire,Reading,1.557778006450011e-5
Oxfordshire,Buckinghamshire,1.0575819697148595e-5
Oxfordshire,Swindon,8.833443684506437e-6
Oxfordshire,West Berkshire,8.66424616801406e-6
Oxfordshire,Wokingham,6.534996391426846e-6
Oxfordshire,Windsor and Maidenhead,4.085063919076958e-6
Oxfordshire,Northamptonshire,4.0663713433205855e-6
Oxfordshire,Warwickshire,3.535621438772531e-6
Oxfordshire,Slough,3.5271228057265236e-6
Oxfordshire,Milton Keynes,3.0548148658876753e-6
Pembrokeshire,Carmarthenshire,2.5867539505717344e-5
Pembrokeshire,Ceredigion,2.268788170511568e-5
Pembrokeshire,Swansea,7.761029274564007e-6
Pembrokeshire,Cardiff,4.502129560038755e-6
Pembrokeshire,Neath Port Talbot,4.172527615213246e-6
Pembrokeshire,"Rhondda, Cynon, Taff",2.8091817574600295e-06
Pembrokeshire,Bridgend,2.6480815791091236e-6
Pembrokeshire,Vale of Glamorgan,2.574327918956511e-6
Pembrokeshire,Caerphilly,2.202721127586166e-6
Pembrokeshire,Merthyr Tydfil,2.1321105749787545e-6
Perthshire and Kinross,Dundee,6.974350049568134e-5
Perthshire and Kinross,Angus,2.4926802395298122e-5
Perthshire and Kinross,Fife,1.5424451221032987e-5
Perthshire and Kinross,Stirling,1.4077348808455768e-5
Perthshire and Kinross,Clackmannanshire,1.1204049698382472e-5
Perthshire and Kinross,Edinburgh,6.745592347227562e-6
Perthshire and Kinross,Falkirk,4.9217316635104475e-6
Perthshire and Kinross,Midlothian,4.763316391500921e-6
Perthshire and Kinross,Glasgow,4.244323006946218e-6
Perthshire and Kinross,West Lothian,4.063081255677221e-6
Peterborough,Cambridgeshire,4.682239091140111e-5
Peterborough,Rutland,2.691867189767834e-5
Peterborough,Lincolnshire,2.0411551038431002e-5
Peterborough,Northamptonshire,5.64647774917186e-6
Peterborough,Bedfordshire,3.494223835200391e-6
Peterborough,Norfolk,2.440251570930751e-6
Peterborough,Central Bedfordshire,1.8720382979209833e-6
Peterborough,Luton,1.7002290006191258e-6
Peterborough,Leicester,1.2840321008611973e-6
Peterborough,Suffolk,1.1858909731514748e-6
Plymouth,Cornwall,3.1170247983356344e-5
Plymouth,Devon,2.7224563649444232e-5
Plymouth,Torbay,1.4448918273062942e-5
Plymouth,Somerset,2.0935643842257476e-6
Plymouth,North Somerset,1.8423668750296402e-6
Plymouth,Bristol,1.609924713120055e-6
Plymouth,Bath and North East Somerset,1.2567825023288186e-6
Plymouth,South Gloucestershire,1.1623228083904286e-6
Plymouth,Isle of Wight,1.1270229022883491e-6
Plymouth,Dorset,1.0407785465975129e-6
Poole,Bournemouth,2.939724452261376e-4
Poole,Dorset,9.359011512216002e-5
Poole,Southampton,7.070106066744652e-6
Poole,Hampshire,4.620846852655575e-6
Poole,Portsmouth,2.8707794081735837e-6
Poole,Wiltshire,2.0008794297350908e-6
Poole,Bath and North East Somerset,1.4541292261303913e-6
Poole,Somerset,1.2970947222360394e-6
Poole,Reading,1.1439880562357998e-6
Poole,North Somerset,1.1129746365988954e-6
Portsmouth,Hampshire,5.941226774878878e-5
Portsmouth,Southampton,2.856344993134446e-5
Portsmouth,West Sussex,1.2699587402800713e-5
Portsmouth,Isle of Wight,9.268957653908468e-6
Portsmouth,Brighton and Hove,4.051395146366098e-6
Portsmouth,Bournemouth,3.91054085662419e-6
Portsmouth,Poole,2.8707794081735837e-6
Portsmouth,Surrey,2.548539052351058e-6
Portsmouth,Dorset,2.0127045246322564e-6
Portsmouth,Wiltshire,1.6515483904358456e-6
Powys,Ceredigion,2.9489441483085158e-5
Powys,Shropshire,2.289351089548585e-5
Powys,Neath Port Talbot,1.645578204009944e-5
Powys,Merthyr Tydfil,1.513545330525059e-5
Powys,Herefordshire,1.505123200578045e-5
Powys,Monmouthshire,1.0751455879109169e-5
Powys,Blaenau Gwent,1.0280459400730844e-5
Powys,Swansea,9.940400131020688e-6
Powys,Gwynedd,5.724199389644998e-6
Powys,Telford and Wrekin,5.468158442061077e-6
Reading,Wokingham,2.486824210194706e-4
Reading,West Berkshire,1.4840146281381285e-4
Reading,Bracknell Forest,5.433101899350034e-5
Reading,Windsor and Maidenhead,3.363442092641674e-5
Reading,Slough,2.2311750382624723e-5
Reading,Oxfordshire,1.557778006450011e-5
Reading,Hampshire,9.180428682325454e-6
Reading,Swindon,6.481639240831276e-6
Reading,Buckinghamshire,5.596972116264451e-6
Reading,Surrey,4.706402943235098e-6
Redcar and Cleveland,Middlesbrough,1.664268625841353e-4
Redcar and Cleveland,Stockton-on-Tees,6.587497194286765e-5
Redcar and Cleveland,Darlington,2.231842956883098e-5
Redcar and Cleveland,Hartlepool,1.855335053569716e-5
Redcar and Cleveland,North Yorkshire,1.0352504398101223e-5
Redcar and Cleveland,Durham,4.728792517876745e-6
Redcar and Cleveland,Sunderland,3.5209031215154948e-6
Redcar and Cleveland,Newcastle upon Tyne,3.271081142445923e-6
Redcar and Cleveland,York,3.1376925488596407e-6
Redcar and Cleveland,Gateshead,3.0198290355569634e-6
Renfrewshire,East Renfrewshire,1.0095486442679902e-4
Renfrewshire,Glasgow,8.143453595709821e-5
Renfrewshire,Inverclyde,5.296968315830617e-5
Renfrewshire,West Dunbartonshire,5.055905642899153e-5
Renfrewshire,East Dunbartonshire,4.5440576394050685e-5
Renfrewshire,North Ayrshire,3.276546549437564e-5
Renfrewshire,South Lanarkshire,2.81566637282711e-5
Renfrewshire,North Lanarkshire,2.279610210252315e-5
Renfrewshire,East Ayrshire,1.6092883794168052e-5
Renfrewshire,Argyll and Bute,1.5924201794010672e-5
"Rhondda, Cynon, Taff",Merthyr Tydfil,7.454681597191631e-5
"Rhondda, Cynon, Taff",Cardiff,7.248166103448765e-5
"Rhondda, Cynon, Taff",Bridgend,3.77571900680879e-5
"Rhondda, Cynon, Taff",Vale of Glamorgan,3.419835233783517e-5
"Rhondda, Cynon, Taff",Caerphilly,3.326789357987487e-5
"Rhondda, Cynon, Taff",Newport,1.723093282439958e-5
"Rhondda, Cynon, Taff",Blaenau Gwent,1.5185810905616004e-5
"Rhondda, Cynon, Taff",Neath Port Talbot,1.4825516914203976e-5
"Rhondda, Cynon, Taff",Torfaen,1.3067539726732012e-5
"Rhondda, Cynon, Taff",Swansea,9.161404129175295e-6
Rochdale,Oldham,7.728582876076999e-5
Rochdale,Bury,6.311947231924039e-5
Rochdale,Manchester,4.3477582416624345e-5
Rochdale,Salford,2.711868825832508e-5
Rochdale,Tameside,1.9621703325123175e-5
Rochdale,Trafford,1.6292512975065504e-5
Rochdale,Bolton,1.2780292899009369e-5
Rochdale,Stockport,1.2456076144852655e-5
Rochdale,Calderdale,9.255137346185445e-6
Rochdale,Lancashire,6.760755984721414e-6
Rotherham,Sheffield,5.699865793045278e-5
Rotherham,Barnsley,3.688609262741588e-5
Rotherham,Doncaster,3.0152483644881636e-5
Rotherham,Derbyshire,6.209654870355359e-6
Rotherham,Nottinghamshire,4.915475820091377e-6
Rotherham,Wakefield,4.225886389456205e-6
Rotherham,Leeds,2.9360239503167473e-6
Rotherham,York,2.359417411861603e-6
Rotherham,North Lincolnshire,2.3238375962902868e-6
Rotherham,Kirklees,2.016660909614726e-6
Rutland,Peterborough,2.691867189767834e-5
Rutland,Leicester,1.8425148195586303e-5
Rutland,Leicestershire,1.756225653010828e-5
Rutland,Lincolnshire,1.672241807235236e-5
Rutland,Northamptonshire,1.2143825617078361e-5
Rutland,Cambridgeshire,3.858767817903207e-6
Rutland,Nottingham,3.7307421570410324e-06
Rutland,Bournemouth,2.1119178778441306e-6
Rutland,North Lincolnshire,1.9817207554955435e-6
Rutland,Nottinghamshire,1.856111163491416e-6
Saint Helens,Knowsley,7.945941895973378e-5
Saint Helens,Warrington,5.702296494210324e-5
Saint Helens,Halton,3.683862232593663e-5
Saint Helens,Wigan,3.219545171382463e-5
Saint Helens,Sefton,1.8798305448560995e-5
Saint Helens,Aberdeen,1.4615883770198386e-5
Saint Helens,Salford,9.364773369313666e-6
Saint Helens,Wirral,7.584454307683457e-6
Saint Helens,Manchester,7.291645874191278e-6
Saint Helens,Trafford,5.956881722552663e-6
Salford,Manchester,9.542987311479277e-5
Salford,Trafford,7.801480509232243e-5
Salford,Bury,5.4146971927034365e-5
Salford,Bolton,4.7528631065664565e-5
Salford,Oldham,2.9964111037733027e-5
Salford,Tameside,2.9859584231902338e-5
Salford,Stockport,2.9435999092527414e-5
Salford,Wigan,2.8680951686075252e-5
Salford,Rochdale,2.711868825832508e-5
Salford,Warrington,1.822085543578822e-5
Sandwell,Dudley,8.041551713618267e-5
Sandwell,Birmingham,4.965116586469816e-5
Sandwell,Walsall,4.5838586752061045e-5
Sandwell,Wolverhampton,3.5454976812430065e-5
Sandwell,Solihull,1.663904326859007e-5
Sandwell,Worcestershire,8.807832011982367e-6
Sandwell,Staffordshire,6.234187839215575e-6
Sandwell,Coventry,5.306178214998726e-6
Sandwell,Telford and Wrekin,4.868214458867616e-6
Sandwell,Warwickshire,3.752571896950781e-6
Scottish Borders,Midlothian,2.6522697721213516e-5
Scottish Borders,Edinburgh,1.819887018271668e-5
Scottish Borders,East Lothian,1.3969507341020342e-5
Scottish Borders,Northumberland,9.091413992075628e-6
Scottish Borders,West Lothian,5.610705212356367e-6
Scottish Borders,Dumfries and Galloway,3.5263929767809065e-6
Scottish Borders,Falkirk,2.683784460854909e-6
Scottish Borders,Orkney Islands,2.596344874358105e-6
Scottish Borders,Fife,2.369229819633627e-6
Scottish Borders,Perthshire and Kinross,2.116340502427621e-6
Sefton,Knowsley,5.53534029392144e-5
Sefton,Aberdeen,5.0682854094490506e-5
Sefton,Wirral,2.4026728926612406e-5
Sefton,Saint Helens,1.8798305448560995e-5
Sefton,Lancashire,1.1049583453629388e-5
Sefton,Halton,1.0494799412599556e-5
Sefton,Warrington,7.43722291379665e-6
Sefton,Wigan,6.216677971960371e-6
Sefton,Cheshire West and Chester,5.51381169264998e-6
Sefton,Salford,3.948248335311721e-6
Sheffield,Rotherham,5.699865793045278e-5
Sheffield,Barnsley,2.6638493631138516e-5
Sheffield,Derbyshire,1.428057180844747e-5
Sheffield,Doncaster,1.2162462345331152e-5
Sheffield,Wakefield,4.151239592571424e-6
Sheffield,Nottinghamshire,3.7543627257524204e-6
Sheffield,Leeds,3.4662360646838714e-6
Sheffield,Kirklees,2.7040021769097724e-6
Sheffield,North Lincolnshire,2.303982069870151e-6
Sheffield,Derby,2.1382747271432352e-6
Shetland Islands,Orkney Islands,1.3443757478595076e-5
Shetland Islands,Aberdeen City,1.1590558391769164e-5
Shetland Islands,Glasgow,6.974572487535964e-6
Shetland Islands,Highland,4.182304159245894e-6
Shetland Islands,Edinburgh,3.6688001078100278e-6
Shetland Islands,East Renfrewshire,3.5125538539729345e-6
Shetland Islands,West Dunbartonshire,2.6217992002433666e-6
Shetland Islands,East Dunbartonshire,2.322941100365431e-6
Shetland Islands,Aberdeenshire,1.8815017016554716e-6
Shetland Islands,South Lanarkshire,1.7518403876902026e-6
Shropshire,Telford and Wrekin,5.567868357530228e-5
Shropshire,Powys,2.289351089548585e-5
Shropshire,Wrexham,2.2392051671428873e-5
Shropshire,Wolverhampton,9.509620385704426e-6
Shropshire,Herefordshire,7.137420774206991e-6
Shropshire,Dudley,4.7259241031849046e-6
Shropshire,Worcestershire,4.52379875031809e-6
Shropshire,Denbighshire,3.897532602847352e-6
Shropshire,Gwynedd,3.705788918962584e-6
Shropshire,Cheshire West and Chester,3.3677970073482195e-6
Slough,Windsor and Maidenhead,1.5827513907886676e-4
Slough,Buckinghamshire,4.22628288544269e-5
Slough,Bracknell Forest,3.4478172882182566e-5
Slough,Reading,2.2311750382624723e-5
Slough,Wokingham,1.9468852321686496e-5
Slough,Surrey,1.062741308473676e-5
Slough,Greater London,9.818304226759697e-6
Slough,West Berkshire,7.472489610236774e-6
Slough,Hertfordshire,3.630268119219626e-6
Slough,Oxfordshire,3.5271228057265236e-6
Solihull,Birmingham,7.558848477919222e-5
Solihull,Coventry,1.8891819098853935e-5
Solihull,Sandwell,1.663904326859007e-5
Solihull,Warwickshire,1.6474794685172334e-5
Solihull,Walsall,9.540644665210588e-6
Solihull,Dudley,9.087956145653041e-6
Solihull,Worcestershire,9.074815900189902e-6
Solihull,Wolverhampton,6.991620912633168e-6
Solihull,Staffordshire,5.8853816388350255e-6
Solihull,Telford and Wrekin,2.3921067457432813e-6
Somerset,North Somerset,2.318888762970158e-5
Somerset,Bath and North East Somerset,1.6518642135609548e-5
Somerset,Dorset,1.040634550632912e-5
Somerset,Bristol,9.567456751840599e-6
Somerset,Devon,6.7034790510606744e-6
Somerset,South Gloucestershire,5.640102153739668e-6
Somerset,Wiltshire,5.057703470145623e-6
Somerset,Torbay,2.5532087880422306e-6
Somerset,Plymouth,2.0935643842257476e-6
Somerset,Monmouthshire,1.8201748146560163e-6
South Ayrshire,East Ayrshire,1.2657951302491515e-4
South Ayrshire,North Ayrshire,6.25880404702392e-5
South Ayrshire,Glasgow,2.013430050072612e-5
South Ayrshire,East Renfrewshire,1.8868829481616443e-5
South Ayrshire,Renfrewshire,1.2853865697210925e-5
South Ayrshire,East Dunbartonshire,1.1789067333248008e-5
South Ayrshire,South Lanarkshire,1.0838438169372212e-5
South Ayrshire,West Dunbartonshire,7.862604702595062e-6
South Ayrshire,North Lanarkshire,7.182532052240457e-6
South Ayrshire,Dumfries and Galloway,6.92147399411627e-6
South Gloucestershire,Bristol,1.683816823746064e-4
South Gloucestershire,Bath and North East Somerset,5.264415168707384e-5
South Gloucestershire,North Somerset,3.601717400470173e-5
South Gloucestershire,Newport,1.7441996999551996e-5
South Gloucestershire,Monmouthshire,1.6270201802864e-5
South Gloucestershire,Gloucestershire,9.502746638268017e-6
South Gloucestershire,Wiltshire,7.529495607635444e-6
South Gloucestershire,Swindon,5.68087827889187e-6
South Gloucestershire,Somerset,5.640102153739668e-6
South Gloucestershire,Torfaen,4.838512676018799e-6
South Lanarkshire,Glasgow,6.844025124627197e-5
South Lanarkshire,East Renfrewshire,5.567556962055611e-5
South Lanarkshire,North Lanarkshire,4.996137075626028e-5
South Lanarkshire,East Dunbartonshire,3.872213342290853e-5
South Lanarkshire,Renfrewshire,2.81566637282711e-5
South Lanarkshire,West Dunbartonshire,2.378342679405473e-5
South Lanarkshire,Inverclyde,1.4276054428392486e-5
South Lanarkshire,East Ayrshire,1.2510805918018317e-5
South Lanarkshire,North Ayrshire,1.230035881169058e-5
South Lanarkshire,South Ayrshire,1.0838438169372212e-5
South Tyneside,Gateshead,6.456165592223143e-5
South Tyneside,Sunderland,6.125660591775375e-5
South Tyneside,Newcastle upon Tyne,6.015055876564746e-5
South Tyneside,North Tyneside,3.7045318092588126e-5
South Tyneside,Northumberland,1.4572412614161063e-5
South Tyneside,Durham,1.4384378089966897e-5
South Tyneside,Hartlepool,4.569272723481262e-6
South Tyneside,Stockton-on-Tees,3.76241127782962e-6
South Tyneside,Middlesbrough,3.39709685500162e-6
South Tyneside,Darlington,2.772457288373366e-6
Southampton,Hampshire,5.70504206523042e-5
Southampton,Portsmouth,2.856344993134446e-5
Southampton,Bournemouth,1.6065881992544564e-5
Southampton,Isle of Wight,7.96481934326018e-6
Southampton,Dorset,7.1892893047760915e-6
Southampton,Poole,7.070106066744652e-6
Southampton,Wiltshire,6.394417658655409e-6
Southampton,West Berkshire,3.882133461446069e-6
Southampton,West Sussex,2.4584843617292405e-6
Southampton,Reading,2.089860557027309e-6
Southend-on-Sea,Essex,4.0844252136922015e-5
Southend-on-Sea,Thurrock,2.6543785980698738e-5
Southend-on-Sea,Greater London,6.308890461160939e-6
Southend-on-Sea,Medway,2.5707005227660466e-6
Southend-on-Sea,Hertfordshire,2.3125706788233434e-6
Southend-on-Sea,Kent,1.8933477428378514e-6
Southend-on-Sea,Surrey,1.2367906005010985e-6
Southend-on-Sea,Suffolk,1.0539229946759005e-6
Southend-on-Sea,Central Bedfordshire,9.063230666793852e-7
Southend-on-Sea,York,8.469674400248689e-7
Staffordshire,Stoke-on-Trent,5.373452506129011e-5
Staffordshire,Wolverhampton,2.2237293414857075e-5
Staffordshire,Walsall,1.8143480587052063e-5
Staffordshire,Derby,1.0049554208841222e-5
Staffordshire,Cheshire East,8.627275671208954e-6
Staffordshire,Birmingham,7.746933551222827e-6
Staffordshire,Dudley,6.325038800913806e-6
Staffordshire,Sandwell,6.234187839215575e-6
Staffordshire,Telford and Wrekin,6.082434802103654e-6
Staffordshire,Solihull,5.8853816388350255e-6
Stirling,Clackmannanshire,2.0863623934731348e-4
Stirling,Falkirk,8.351201101879485e-5
Stirling,East Dunbartonshire,1.650293935101748e-5
Stirling,Glasgow,1.5307884335240234e-5
Stirling,Perthshire and Kinross,1.4077348808455768e-5
Stirling,West Dunbartonshire,1.1834234099216161e-5
Stirling,Edinburgh,1.152439450473888e-5
Stirling,North Lanarkshire,1.1373965783099011e-5
Stirling,East Renfrewshire,9.727110143901017e-6
Stirling,West Lothian,9.29324032281122e-6
Stockport,Manchester,7.787402277457283e-5
Stockport,Tameside,6.517752023806435e-5
Stockport,Trafford,3.372089604398327e-5
Stockport,Salford,2.9435999092527414e-5
Stockport,Oldham,2.3925935909094228e-5
Stockport,Cheshire East,2.0683484981124913e-5
Stockport,Bury,1.873698605507727e-5
Stockport,Rochdale,1.2456076144852655e-5
Stockport,Bolton,7.848408846599456e-6
Stockport,Warrington,7.284046891583849e-6
Stockton-on-Tees,Middlesbrough,1.428159082792356e-4
Stockton-on-Tees,Hartlepool,7.742638280281401e-5
Stockton-on-Tees,Redcar and Cleveland,6.587497194286765e-5
Stockton-on-Tees,Darlington,5.2818339141129034e-5
Stockton-on-Tees,Durham,1.400587834543692e-5
Stockton-on-Tees,North Yorkshire,7.56846234474579e-6
Stockton-on-Tees,Sunderland,7.3561466872812355e-6
Stockton-on-Tees,Newcastle upon Tyne,5.701942160552205e-6
Stockton-on-Tees,Gateshead,4.754031810764497e-6
Stockton-on-Tees,South Tyneside,3.76241127782962e-6
Stoke-on-Trent,Staffordshire,5.373452506129011e-5
Stoke-on-Trent,Cheshire East,1.630339293386077e-5
Stoke-on-Trent,Telford and Wrekin,2.976507858630366e-6
Stoke-on-Trent,Derby,2.328275511880521e-6
Stoke-on-Trent,Cheshire West and Chester,2.2404526843750703e-6
Stoke-on-Trent,Wolverhampton,2.110722487339475e-6
Stoke-on-Trent,Shropshire,2.041060164973141e-6
Stoke-on-Trent,Manchester,2.0384532389045842e-6
Stoke-on-Trent,Salford,1.6923783198707805e-6
Stoke-on-Trent,Walsall,1.6638103818748797e-6
Suffolk,Norfolk,1.318226685695354e-5
Suffolk,Cambridgeshire,1.1250511065657353e-5
Suffolk,Essex,6.2989062738833945e-6
Suffolk,Peterborough,1.1858909731514748e-6
Suffolk,Thurrock,1.1434979445467984e-6
Suffolk,Southend-on-Sea,1.0539229946759005e-6
Suffolk,Bedfordshire,9.866712964340043e-7
Suffolk,Hertfordshire,8.689137421917244e-7
Suffolk,Greater London,8.00390094856131e-7
Suffolk,Central Bedfordshire,5.887150962659371e-7
Sunderland,South Tyneside,6.125660591775375e-5
Sunderland,Gateshead,4.6594970458901676e-5
Sunderland,Durham,3.331509148587944e-5
Sunderland,Newcastle upon Tyne,2.887971272777342e-5
Sunderland,North Tyneside,1.788458931335988e-5
Sunderland,Hartlepool,1.001577557977831e-5
Sunderland,Northumberland,7.997911423503111e-6
Sunderland,Stockton-on-Tees,7.3561466872812355e-6
Sunderland,Darlington,4.5432640842532865e-6
Sunderland,Middlesbrough,4.30003631009441e-6
Surrey,Bracknell Forest,1.5527012259144806e-5
Surrey,West Sussex,1.1235842232633533e-5
Surrey,Slough,1.062741308473676e-5
Surrey,Hampshire,9.585325074132154e-6
Surrey,Windsor and Maidenhead,9.523242395417137e-6
Surrey,Greater London,8.807733592288136e-6
Surrey,Wokingham,5.33579440405347e-6
Surrey,Reading,4.706402943235098e-6
Surrey,Brighton and Hove,3.835463751810101e-6
Surrey,Portsmouth,2.548539052351058e-6
Swansea,Neath Port Talbot,1.4534235224818162e-4
Swansea,Carmarthenshire,7.464858494652059e-5
Swansea,Bridgend,2.1104389878664177e-5
Swansea,Cardiff,1.0889734273510293e-5
Swansea,Powys,9.940400131020688e-6
Swansea,"Rhondda, Cynon, Taff",9.161404129175295e-6
Swansea,Pembrokeshire,7.761029274564007e-6
Swansea,Vale of Glamorgan,7.574750784531993e-6
Swansea,Ceredigion,6.886877699213948e-6
Swansea,Merthyr Tydfil,6.7728186196836035e-6
Swindon,Wiltshire,3.716284344884097e-5
Swindon,West Berkshire,1.30359102492433e-5
Swindon,Gloucestershire,9.108151658685879e-6
Swindon,Oxfordshire,8.833443684506437e-6
Swindon,Reading,6.481639240831276e-6
Swindon,South Gloucestershire,5.68087827889187e-6
Swindon,Bath and North East Somerset,5.533001285138539e-6
Swindon,Bristol,4.928695606492577e-6
Swindon,North Somerset,2.7585763071947645e-6
Swindon,Wokingham,2.756817304766322e-6
Tameside,Stockport,6.517752023806435e-5
Tameside,Manchester,6.308652327568567e-5
Tameside,Oldham,5.579625310084938e-5
Tameside,Salford,2.9859584231902338e-5
Tameside,Trafford,2.632174197935949e-5
Tameside,Bury,2.0195588487990163e-5
Tameside,Rochdale,1.9621703325123175e-5
Tameside,Bolton,9.098903567574693e-6
Tameside,Derbyshire,6.372750539066071e-6
Tameside,Wigan,6.326749195778373e-6
Telford and Wrekin,Shropshire,5.567868357530228e-5
Telford and Wrekin,Wolverhampton,1.98957081642015e-5
Telford and Wrekin,Dudley,6.242018424159945e-6
Telford and Wrekin,Staffordshire,6.082434802103654e-6
Telford and Wrekin,Powys,5.468158442061077e-6
Telford and Wrekin,Walsall,5.318214344052416e-6
Telford and Wrekin,Sandwell,4.868214458867616e-6
Telford and Wrekin,Birmingham,4.2985377431761064e-6
Telford and Wrekin,Stoke-on-Trent,2.976507858630366e-6
Telford and Wrekin,Solihull,2.3921067457432813e-6
Thurrock,Southend-on-Sea,2.6543785980698738e-5
Thurrock,Essex,2.318759752397603e-5
Thurrock,Greater London,1.5334423900691613e-5
Thurrock,Medway,5.4918881284118325e-6
Thurrock,Kent,5.079057199316377e-6
Thurrock,Hertfordshire,3.0263611532736636e-6
Thurrock,Surrey,1.8547072854390918e-6
Thurrock,Luton,1.7101340812302018e-6
Thurrock,Central Bedfordshire,1.27383534192415e-6
Thurrock,Suffolk,1.1434979445467984e-6
Torbay,Devon,5.5629146193386294e-5
Torbay,Plymouth,1.4448918273062942e-5
Torbay,Cornwall,3.2443414960126472e-6
Torbay,Somerset,2.5532087880422306e-6
Torbay,North Somerset,2.3437736210889383e-6
Torbay,Bristol,2.0529966408928267e-6
Torbay,South Gloucestershire,1.7429618538117835e-6
Torbay,Powys,1.2973854293655424e-6
Torbay,Bath and North East Somerset,1.2851241230327843e-6
Torbay,Bournemouth,1.1263617860890911e-6
Torfaen,Newport,1.2994938706277148e-4
Torfaen,Monmouthshire,7.239653358963404e-5
Torfaen,Blaenau Gwent,7.027756774348163e-5
Torfaen,Caerphilly,4.553318295425421e-5
Torfaen,Cardiff,3.2759458635399165e-5
Torfaen,Merthyr Tydfil,1.5783157045132074e-5
Torfaen,"Rhondda, Cynon, Taff",1.3067539726732012e-5
Torfaen,Vale of Glamorgan,1.2912179046535908e-5
Torfaen,Bridgend,6.5089375816000215e-6
Torfaen,Bristol,5.6903525636812726e-6
Trafford,Manchester,9.678800217618966e-5
Trafford,Salford,7.801480509232243e-5
Trafford,Stockport,3.372089604398327e-5
Trafford,Tameside,2.632174197935949e-5
Trafford,Bury,2.3720815609025535e-5
